character,unique words
Bible Vendor,7
Random Voices,7
Three Tortured Souls,7
Large Crip,7
Roulette Dealer,7
Apple Man 4,7
Rescuer 6,7
Rescuer 5,7
Cartamn,7
Staff,7
Elderly Man 7,7
Greeley Officer 2,7
Hooker,7
German 1,7
Jimmy Buffet,7
Kyle's Team,7
Prerecorded Voice,7
Kanye West,7
Garrison's profile,7
Top Girl,7
Wyoming Coach,7
Reenactor,7
Funbot,7
UAA 2,7
Vendor,7
Redneck 15,7
An Elderly Woman,7
Alanis Morissette,7
Assistant 1,7
Other Goths,6
"Jimbo, Ned",6
Muhammad,6
Fan wearing a blue star,6
Jordan,6
Castro,6
Bum 11,6
Other fans,6
Kyle.,6
Madonna,6
Stacy,6
Alien 1,6
Somebody,6
Obese Man,6
Both Cartmans,6
Lenora,6
AARP member 2,6
Aussie Crewman,6
Blue Team,6
Mr Garrison,6
A Fan,6
Biker 12,6
Biker 14,6
Redneck 14,6
Fangirls,6
Whistle,6
Louse 6,6
Louse 1,6
Priest 3,6
Gail,6
The class,6
Nancy Kerrigan,6
Captain Paul Watson,6
Frat Boy 1,6
Man In Yellow Jacket,6
Mr. Leon,6
Mr. Williams,6
Teen Boy 7,6
Carlos,6
Jakovasaur Kid 4,6
Gray Hare,6
Redneck 17,6
Male Aide,6
DC Crew,6
Elderly Tree Hugger,6
Scientist 4,6
Chinese Officer,6
Danish Woman,6
Center Gnome,6
A Bishop,6
Legless Boy,6
Redneck 28,6
Brunet Member,6
Townsman 8,6
Bar Patrons,6
"Penis, Mouse",6
Patient,6
Dick Dastardly,6
Hare 6,6
Cheerleader 2,6
Terrorists,6
Obese Lady,6
Lesbian 5,6
Viewer 2,6
"Butters, Cartman",6
Christina Aguilera monster,6
Hazmat man,6
Prostitute,6
Bishop 3,6
Mrs. Wyland,6
Tad's friends,6
Cheney,6
The TV,6
Barack Obama,6
BP Man 4,6
Gerald/Chris,6
Other Seniors,6
"Stan, Kyle, Kenny, Cartman",6
The Three Spirits,6
Mohawk Vamp,6
Bum 3,6
Blacksmith,6
Mayor McDaniels.,6
Shopper 12,6
Canadian,6
A few Congressmen,6
A Fangirl,6
Some audience members,6
Fan wearing #74,6
Dale,6
All Three,6
Yanogapa,6
Stan and Jesus,6
Peg-leg,6
Townsman 13,6
Mr. Hat Actor (!),6
Tom and Mary,6
Solders,6
HC drivers,6
Randy and the Boys,6
BBC Announcer,6
Tom Shane,6
The Boys (except Cartman) and Dr. Phillips,6
Pirate Ghosts,6
Guest 3,6
Secret Service Agent,6
Priest 4,6
Elderly Woman 7,6
Man in Barrel,6
Ethiopian Woman,6
Uncle Corey,6
Fan,6
Looter 1,6
Pedo 7,6
Shopper 10,6
Colleague,5
Ninja 1,5
Spontaneous Bootay,5
Man 18,5
Other man,5
Japanese Sailor,5
Date,5
Angels,5
Otter 3,5
Otter 2,5
Joanie,5
Redneck 2,5
Apple Man 2,5
SWAT Officer 5,5
Man 25,5
Man 26,5
Man 27,5
Man 22,5
Angelina Jolie,5
The Men,5
Poodle,5
Man in Crowd,5
AARP member 1,5
Alice,5
Red Wings Coach,5
Man 20,5
Man 32,5
Somali 1,5
Token's Father,5
Greeley Man,5
Exec. 4,5
"Gerald, Sheila",5
Old Woman 2,5
Customers,5
The Avs,5
Suicide 7,5
Japanese Delegate,5
Resident 14,5
Male Activist,5
Blood 6,5
Older brother,5
Border Officer 5,5
Jessica's Mom,5
Canadian 2,5
Angel 10,5
Female fan,5
Rabbity Rabbit,5
Man 19,5
Redneck 29,5
Redneck 24,5
Redneck 26,5
Cowboy 1,5
Mormon 5,5
Mover,5
"Kids, Chef",5
Woman Supporter 2,5
Angel 7,5
A Council Member,5
Supporter,5
Audience Member,5
American,5
Otter Soldier,5
Man 31,5
Man 30,5
Stanley,5
PS4 Army,5
DP Executive 4,5
Officer Bob,5
Stan and Kenny,5
A Guard,5
Man 29,5
Ike Supporter,5
Jakovasaur Kid 2,5
Looter 4,5
Looter 3,5
A pilot,5
AARP lookout,5
More Voices,5
Drummer,5
Japanese Man 4,5
Girl with Blue Vest,5
Crowd members,5
Native paddler in vest,5
Shopper 11,5
A Page,5
Henchman,5
Coworker,5
Rider 2,5
Spectator,5
Chef and James Taylor,5
Elderly Voice,5
Boy with Red Scarf,5
Many Men,5
Some Townsfolk,5
Man 28,5
Man 24,5
Man 21,5
Man 23,5
Resident 7,5
Redneck 23,5
Patron 5,5
TiVo,5
Reporter 6,5
Brad,5
Ms.McCormick,5
David Duchovny,5
Female Activist,5
Elderly woman,5
Stage hand,5
Barky,4
Scout Leader,4
Other campers,4
OC Member,4
Shopper 8,4
Guy with Long Hair,4
Craig's father,4
Redneck 3,4
Guy in Leather Jacket,4
Brazil,4
Photographer 1,4
Bum 12,4
Bum 17,4
Really Shocked Man,4
Bodyguard,4
Bea Arthur,4
Confederates,4
Other Vampires,4
Stormtrooper,4
Researcher 3,4
Persian,4
Cheetara,4
Joanie Cunningham,4
"Stan, Kyle, Cartman, Kenny",4
Elderly Man 10,4
Another addict,4
"Jason, Craig, Tweek, Token",4
Ben Roethlisberger,4
Redneck 12,4
Anchor 2,4
Evan Stone,4
Inmates,4
Monkey,4
Paul Shaffer,4
Secure group,4
Ninja 2,4
The rest of the boys,4
German 2,4
Pirate,4
Jakovasaur Kid 3,4
Jakovasaur Kid 1,4
Black Bailiff,4
Boy Sledders,4
Domino,4
Oragne cat,4
Purry,4
Crew,4
"McCain, Obama",4
Benjamin,4
Old Folks,4
Skier,4
Kyle's Side,4
Fireman 3,4
Reveler,4
Grizzled Man,4
Man On Crutches,4
Kids in Class,4
An Agent,4
Female Sailor,4
Paparazzo 3,4
Paparazzo 5,4
With Demons,4
Monk,4
Redneck 25,4
Redneck 21,4
Hippies and Kyle,4
Protester 7,4
Millionaires,4
Angel 1,4
Angel 2,4
Hemorrhoid,4
Police Officer 1,4
Player 2,4
Phlllip,4
Another Man,4
"Stan, Kyle, Blanket",4
The Crew,4
Loa Tse,4
Blonde Judge,4
Townswoman 1,4
Connor,4
A Politician,4
Other Sixth Graders,4
A Sign-Holder,4
Satan and Males,4
Hare 2,4
Girl with Brown Coat,4
Male voice,4
Employee 2,4
Kid 5,4
Lesbian 9,4
Two SWAT men,4
"Crew, Stan",4
Hildog Fan,4
Judge 3,4
Douglas,4
Mrs. Streible,4
A Member,4
Jakovasaur Girl,4
A boy,4
Premise Running Thin,4
Optometrist,4
Brown Hare,4
Another kindergartner,4
Ben Affleck,4
Janitor 2,4
American Male 3,4
Mongolian,4
People in Audience,4
Programmer 4,4
"Cartman, Kyle, Kenny",4
Other acts,4
Ugly Girl,4
Nick Jonas,4
"Neely, Davis",4
Cartman's Side,4
Ruby Tucker,4
Guard 5,4
Man With Picket Sign,4
Louse 3,4
A director,4
Tad and friends,4
Guest 1,4
Fan wearing #82,4
Celine,4
Elderly Man 5,4
The Office,4
Centers,4
Man in background,4
Obese woman,4
Robot Monkey,4
Some adults,4
Stan/Kyle/ Kenny,4
An Older Girl,4
Man in audience,4
Bum 1,4
Bum 2,4
Sheep,4
"Cartman, Stan",4
"Token, Kyle, Stan",4
South Park Men,4
Photographer 4,4
"Cartman, Kyle",4
Elderlay man,4
Zombie Mortician,4
Patron 4,4
Lice,4
Right Creature,4
Pedo 6,4
Lesbian 8,4
Bishop 2,4
The three men,4
Club Members,3
Iraqi Man 2,3
Collins,3
Guy in Audience,3
Players,3
Schroeder,3
"Tweek, Craig",3
South Korea,3
Replacement Friend,3
"Heidi, Millie",3
Crip 1,3
Anne,3
Lesbian 11,3
A crewman,3
"Thomas, Kyle",3
Sea Otters,3
Bar Patron,3
Satan/Chris,3
Both men,3
Other Cardinals,3
Chris/Saddam,3
Monitor Man,3
"Black Vamp, Mike, and Pete",3
A Protester,3
Another kid,3
Gene Siskel,3
Tow Truck Driver,3
Two Girls,3
"Stan, Jesus",3
Randy Marsh,3
FC Batter 1,3
Mr. Hammerhead,3
Punk,3
Chef and Principle Victoria,3
Protestor #4,3
Soldier 7,3
Mrs. Applegate,3
Other students,3
Redneck 27,3
Guy in flat top,3
Winner,3
Tommy and His Dad,3
Brunette 2,3
"Mike, Michael, and Pete",3
Townswoman 2,3
Hare 1,3
Hare 4,3
Photographer 3,3
Inductee 2,3
Various Folk,3
FDA Agent 1,3
Chip,3
White Hare,3
Blond Boy,3
Deputy 2,3
Programmer 1,3
Operative,3
"Chef, Victoria, Mackey",3
Both parents,3
Hasselback,3
A Dentist,3
Megan,3
Director 9,3
Dentists,3
Visitor Driver,3
Vamps,3
Co-Worker,3
Another boy,3
Townsman 14,3
Townsman 10,3
"Mark, Jenny",3
AARP Members,3
Black Man 3,3
"Mr. Mackey, Principal Victoria",3
"Satan, Chris",3
A Nun,3
New Yorker 2,3
Man with Afro,3
Male Voice,3
"Gary Sr., Karen",3
Expert 8,3
Cartman and Kyle,3
Expert 5,3
Desk Officer,3
Farmers,3
Inductee 1,3
Doctor's assistant,3
Fred Savage,3
Man In Wheelchair,3
"Clyde, Ike",3
Supporter 4,3
Agents,3
Pedo 4,3
Pedo 5,3
Iraqi Man 1,2
"Scott, Tyler",2
An Elderly Man,2
Kelly Menskin,2
Sixth Graders 2/3,2
UAA Member 2,2
Classmates,2
Frat Boys,2
All the kids,2
A few others,2
Motorcycle Driver,2
Suicide 5,2
Suicide 4,2
Suicide 6,2
Suicide 3,2
Suicide 2,2
Some KKK members,2
Older sister,2
Bum 18,2
Bum 10,2
Bum 15,2
Denver Fans,2
Woman 8,2
Member 4,2
"Red, Annie",2
The Guys,2
Student 3,2
Reenactor 4,2
Reenactor 2,2
Reenactor 3,2
Reenactor 1,2
Kyles,2
Some Kids,2
Fillmore and Friend,2
Crowd Members,2
Osama and the Taliban Soldiers,2
Stout Man,2
Damanta Unit 5,2
Reveler 1,2
Reveler 3,2
Reveler 4,2
Reveler 5,2
Another fan,2
Profile 3,2
The Nerds,2
Inductee,2
Pilgrim Girl,2
The three adults,2
New kid,2
All Gingers,2
The Ladies,2
Man 2 in Crowd,2
Denver Team,2
A Few People,2
Alien 3,2
"Jenny, Mark",2
Donald Trump,2
Both sides,2
The Ramseys,2
McCormick Parents,2
"Kyle, Butters",2
The other men,2
Sixth Grader 8,2
Kevin Jonas,2
Townsperson 3,2
One of the Cubs,2
Broncos,2
TAPS,2
The Kardashians,2
Black boy,2
Family,2
Pirate Voice,2
Man in crowd,2
Male Sailor 1,2
Male Sailor 2,2
"Stan, Kenny, Kyle",2
Blonde Boy,2
Yo Gabba Gabba,2
Frat Boy 2,2
HC Driver 2,2
HC Driver 4,2
"Token, Craig",2
Teen Boy 4,2
Kyle/Cartman,2
The others,2
The Other Kids,2
HC Driver 1,2
Motorcyclist,2
Redneck 18,2
Redneck 16,2
Roostor,2
FBI Agents,2
Older Girl,2
Eager Man,2
Executives,2
Crowd Member,2
Japanese Pilot,2
Sniper,2
Kelly Rutherfordmenskin,2
New Yorker 1,2
Canadian 3,2
Someone in the crowd,2
Assembly,2
Performer,2
Bear cub,2
"Nicole, Lola, Annie",2
UAL Member 1,2
Guy 1,2
Guy 2,2
Backup Singers,2
The Women,2
Protester 6,2
Protester 5,2
Biker 9,2
Joseph,2
Filmore*,2
Male Member,2
The Nuggets,2
Fifth Graders,2
"Bebe, New Kid",2
Redneck 30,2
Secure Group,2
All Celebrities,2
Pirate Ghost cutout,2
Profile 4,2
Sledders,2
"Stan, Kyle, Butters, Token",2
"Randy, Gerald",2
Other girls,2
Teens,2
Ishmael,2
Union Reenactors,2
Spectator 3,2
Gerald and Sheila,2
"Stan, Kyle, Butters",2
"Lola, Jenny, Red, and Wendy",2
Female voice,2
A few people,2
An Aged Voice,2
Dominique and Zizi,2
Bros,2
Some Folks,2
"Man 2, Woman 2",2
Numa Numa Guy,2
The Boys and The Brandos,2
Yanogapa 1,2
Both Kyles,2
Musician 3,2
"Kenny, Stan, Cartman",2
Muslim,2
Some People,2
The Others,2
"Kyle, Stan, Cartman",2
Mr. Torres,2
The other four,2
Demon,2
Robot Guard,2
Zipliner,2
Confederate Reenactors,2
Man in Back,2
OC,2
"Kyle, Towelie",2
Other psychics,2
Guests in line,2
New Yorkers,2
Bum 8,2
Confederate 1,2
Bum 4,2
Kyle/Stan,2
Commissioner,2
Principa Victoria,2
Mr. Glughgogawk,2
Floating Man,2
Man in foreground,2
"Stuart and wife, and Receptionist",2
Other Students,2
Gerry's Daughters,2
Pirate Ghost 2,2
SWAT rescuer Hansen,2
The South Park boys,2
Townsman 17,2
Townsman 12,2
Townsman 11,2
Molly,2
Most Senators,2
Patron 10,2
"Kyle, Stan, Butters",2
All three men,2
Blonde 3,2
Kids around Kenny,2
Denver citizens,2
Left Creature,2
Blond agent,2
Other Girls,2
Sound Man,2
Goths,2
Petey/Boys,2
Stuart and Mrs. McCormick,2
Lincoln,2
Av 2,2
Some boys,2
Ladies,2
Michael Richards,2
Mormon 3,2
"Kenny, Stan",2
Owners,2
"Kyle, Butters, Tweek",2
Other People,2
Techs,2
Two Small Voices,2
Patron 7,2
Other Townsfolk,2
Bum 5,2
Bum 6,2
Beat-up Boy,2
Some Guy,2
Guest 4,2
"Kyle, Ms. Crabtree",2
Both Parents,2
Yanogapa 2,2
Two Guys,2
"Dahmer, Gacy",2
Bear,2
Huddle,2
Cheesy Poof Cartman,2
Neighbors,2
Two kids,2
Other Vamps,2
"Clyde, Kenny",2
Michael Douglas,2
Mrs Cartman,2
Kids around Timmy,2
Cartman/ Kenny,2
Persians,2
Kid Magician,2
SP Adults,2
Recruits,2
The Gintses,2
Greeley Batter,2
Kelly Pinkertonstinfurter,2
The Other Members,2
Purple Hare,2
Bishop 1,2
Congressman,2
Enrique,1
Melvin 4,1
Sylvester,1
Gay Lion,1
